source_text,tone,target_text,,,
ഇത് ആവശ്യമാണ്,formal,This is required,,,
ദയവായി സമയം പാലിക്കുക,formal,Please be punctual,,,
ഇന്ന് ഫയൽ ലഭിച്ചു,formal,The file was received today,,,
ഇത് തീർന്നിട്ടുണ്ട്,formal,This has been completed,,,
ദയവായി വീണ്ടും ശ്രമിക്കുക,formal,Please try again,,,
നാളെ സംസാരിക്കാം,formal,We can talk tomorrow,,,
ഇത് ഇപ്പോൾ ലഭ്യമല്ല,formal,This is not available now,,,
ദയവായി ഉറപ്പാക്കുക,formal,Please confirm,,,
ഇന്ന് ഓഫീസിൽ അവധി ആണ്,formal,Today is a holiday,,,
ഇത് എളുപ്പത്തിൽ തീർക്കാം,formal,This can be finished easily,,,
ദയവായി ശാന്തമായി ഇരിക്കുക,formal,Please remain calm,,,
ഇത് നല്ല ആശയമാണ്,formal,This is a good idea,,,
ഇന്ന് അവസാന തീയതിയാണ്,formal,Today is the deadline,,,
ദയവായി ഉടൻ അറിയിക്കുക,formal,Please inform immediately,,,
ഇത് ശ്രദ്ധയിൽപ്പെടുത്തി,formal,Noted,,,
നാളെ ഫലം അറിയാം,formal,The result will be known tomorrow,,,
ഇത് ശരിയാക്കാം,formal,We can fix this,,,
ദയവായി ക്ഷമിക്കണം,formal,Please excuse,,,
ഇത് ഇന്ന് നടക്കില്ല,formal,This will not happen today,,,
ദയവായി ഫോൺ എടുക്കുക,formal,Please attend the call,,,
ഇത് പരിശോധിക്കുകയാണ്,formal,This is being checked,,,
ഇന്ന് തന്നെ ശ്രമിക്കാം,formal,We can try today itself,,,
ദയവായി വീണ്ടും വരിക,formal,Please come again,,,
ദയവായി യോഗത്തിനായി സമയത്ത് എത്തിച്ചേരുക,formal,Please arrive on time for the meeting,,,
നിങ്ങളുടെ അപേക്ഷ പരിശോധിച്ച ശേഷം അറിയിക്കും,formal,You will be informed after reviewing your application,,,
രേഖകൾ പൂർണ്ണമായും സമർപ്പിക്കണമെന്ന് അഭ്യർത്ഥിക്കുന്നു,formal,Please submit all the documents completely,,,
ഈ സേവനം ഓഫീസ് സമയങ്ങളിൽ മാത്രം ലഭ്യമാണ്,formal,This service is available only during office hours,,,
നിശ്ചിത സമയപരിധി കർശനമായി പാലിക്കണം,formal,The specified deadline must be strictly followed,,,
യോഗം നാളെ രാവിലെ നടത്തപ്പെടും,formal,The meeting will be conducted tomorrow morning,,,
നിങ്ങളുടെ സഹകരണത്തിന് നന്ദി അറിയിക്കുന്നു,formal,Thank you for your cooperation,,,
അപേക്ഷ ഔദ്യോഗികമായി സ്വീകരിച്ചിരിക്കുന്നു,formal,The application has been officially accepted,,,
പരിശോധന റിപ്പോർട്ട് ഇന്ന് സമർപ്പിക്കും,formal,The inspection report will be submitted today,,,
ഈ തീരുമാനം ഉടൻ പ്രാബല്യത്തിൽ വരും,formal,This decision will come into effect immediately,,,
ഇത് ഇന്നേ തീർക്കാമോ?,informal,Can we finish this today?,,,
ഇപ്പോൾ സമയം കിട്ടിയില്ല,informal,I didn’t get time right now,,,
അത് ഞാൻ പിന്നെ നോക്കാം,informal,I’ll look into it later,,,
ഇവിടെ കുറച്ച് തിരക്കുണ്ട്,informal,It’s a bit busy here,,,
ഇന്നത്തെ പരിപാടി കാൻസൽ ആയി,informal,Today’s program got cancelled,,,
അവൻ ഇപ്പോൾ വരും,informal,He will come now,,,
ഇത് ഒന്ന് സെറ്റാക്കാം,informal,Let’s fix this,,,
ഇന്ന് നല്ല തിരക്കായിരുന്നു,informal,Today was really busy,,,
ഇത് എനിക്ക് ഇഷ്ടപ്പെട്ടു,informal,I liked this,,,
നാളെ നോക്കാം,informal,Let’s see tomorrow,,,
"എടാ, ഇപ്പൊ എന്താ സീൻ?",informal,"Hey, what’s going on now?",,,
അത് പറഞ്ഞപ്പോ തന്നെ മനസ്സിലായി,informal,I understood it right away,,,
ഇങ്ങനെ പോയാൽ പണി കിട്ടില്ലേ?,informal,Won’t this cause trouble?,,,
ഒന്ന് കാത്തിരുന്നാൽ മതി,informall,Just wait for a bit,,,
ഇന്നല്ലേ അവധി?,informal,Isn’t today a holiday?,,,
"എന്താ മോനേ, കാര്യം?",informal,"What’s the matter, dude?",,,
ഇത് നേരത്തെ പറഞ്ഞതല്ലേ?,informal,Didn’t we say this earlier?,,,
ഇന്നത്തെ പ്ലാൻ മാറ്റിയല്ലേ?,informal,Didn’t we change today’s plan?,,,
അവൻ പറഞ്ഞത് കേട്ടോ?,informal,Did you hear what he said?,,,
വൈകിട്ട് കാണാം,informal,See you in the evening,,,
മഴ മൗനമായി ഭൂമിയെ തൊട്ടു,poetic,Rain silently touched the earth,,,
സന്ധ്യ മനസ്സിൽ നിഴലായി വീണു,poetic,Evening fell as a shadow in the heart,,,
കാറ്റ് കഥകൾ പറഞ്ഞുപോയി,poetic,The wind whispered stories,,,
നിലാവ് ഓർമ്മകളെ വിളിച്ചു,poetic,Moonlight called out memories,,,
സമയം പതുക്കെ നിൽക്കുന്നു,poetic,Time slowly stands still,,,
കടൽ സ്വപ്നങ്ങളെ ഒളിപ്പിച്ചു,poetic,The sea hid its dreams,,,
പുലരി പ്രതീക്ഷയായി വിരിഞ്ഞു,poetic,Dawn bloomed as hope,,,
വാക്കുകൾ മൗനമായി മാറി,poetic,Words turned into silence,,,
നദി കാലത്തെ കൊണ്ടുപോയി,poetic,The river carried time away,,,
ചായയുടെ ചൂടിൽ ഓർമ്മകൾ ഉണർന്നു,poetic,Memories awoke in the warmth of tea,,,
ഇത് ഇന്ന് തന്നെ തീർക്കണം,informal,This needs to be finished today,,,
ഇപ്പോൾ അതിന് സമയം ഇല്ല,informal,There’s no time for that now,,,
പിന്നെ വിളിക്കാം,informal,I’ll call later,,,
അവിടെ പോയാൽ മതി,informal,Just go there,,,
ഇത് കുറച്ച് ബുദ്ധിമുട്ടാണ്,informal,This is a bit difficult,,,
ഇന്നലെ നല്ല തിരക്കായിരുന്നു,informal,Yesterday was very busy,,,
ഇന്ന് കാര്യങ്ങൾ സ്ലോ ആണ്,informal,Things are slow today,,,
ഇത് എനിക്ക് പറ്റില്ല,informal,I can’t handle this,,,
നാളെ നോക്കാം,informal,Let’s check tomorrow,,,
അവൾക്ക് വരാൻ പറ്റിയില്ല,informal,She couldn’t come,,,
ഇപ്പോൾ തന്നെ പോകണം,informal,I need to leave now,,,
ഇതൊക്കെ പെട്ടെന്ന് തീരും,informal,All this will finish quickly,,,
ഇവിടെ നിൽക്കാൻ പറ്റില്ല,informal,Can’t stay here,,,
അവൻ ഇപ്പോൾ ബിസിയാണ്,informal,He’s busy right now,,,
ഇന്നത്തെ ദിവസം കിടിലം,informal,Today was awesome,,,
കുറച്ച് കൂടി കാത്തിരിക്കാം,informal,Let’s wait a little longer,,,
ഇതൊന്ന് മാറ്റിവെക്കൂ,informal,Move this aside,,,
ഇന്ന് ശരിക്കും ക്ഷീണിച്ചു,informal,I’m really tired today,,,
അത്ര വലിയ കാര്യമല്ല,informal,It’s not a big deal,,,
ഇത് പിന്നെ ചെയ്യാം,informal,We can do this later,,,
മഴ പതുക്കെ നിലം തൊട്ടു,poetic,Rain gently touched the ground,,,
സന്ധ്യ മൗനമായി നീങ്ങി,poetic,Evening moved in silence,,,
കാറ്റ് ഓർമ്മകളെ വിളിച്ചു,poetic,The wind called memories,,,
സമയം നിശ്ശബ്ദമായി കടന്നു,poetic,Time passed quietly,,,
നിലാവ് മനസ്സിൽ നിറഞ്ഞു,poetic,Moonlight filled the heart,,,
വഴികൾ ശൂന്യമായി നിന്നു,poetic,Roads stood empty,,,
നദി കഥകൾ പറഞ്ഞുപോയി,poetic,The river told stories,,,
ചിരി മൗനമായി മാറി,poetic,Laughter turned into silence,,,
ആകാശം നിറം മാറി,poetic,The sky changed its colors,,,
കുന്നുകൾ കാത്തുനിന്നു,poetic,The hills waited,,,
രാത്രി ഓർമ്മകളായി,poetic,Night became memories,,,
പുലരി പ്രതീക്ഷയായി,poetic,Dawn became hope,,,
മഴ വാക്കുകളായി,poetic,Rain turned into words,,,
നിഴലുകൾ നീണ്ടു,poetic,Shadows stretched,,,
കടൽ ശ്വാസമെടുത്തു,poetic,The sea took a breath,,,
കാറ്റ് പാട്ടായി,poetic,The wind became a song,,,
സമയം നിന്നതുപോലെ,poetic,As if time stood still,,,
സന്ധ്യ കാത്തിരിപ്പായി,poetic,Evening became waiting,,,
വാക്കുകൾ വഴിമാറി,poetic,Words changed paths,,,
മനസ്സ് യാത്രയായി,poetic,The mind became a journey,,,
"എന്താ, എല്ലാം റെഡിയാണോ?",informal,"So, is everything ready?",,,
ഇപ്പൊ എവിടെയാ?,informal,Where are you now?,,,
അപ്പോൾ പ്ലാൻ എന്താ?,informal,So what’s the plan?,,,
നീ വരുമല്ലോ?,informal,"You’ll come, right?",,,
ഇതൊക്കെ നേരത്തെ പറഞ്ഞതല്ലേ?,informal,Didn’t we say this earlier?,,,
അവൻ എന്താ പറഞ്ഞത്?,informal,What did he say?,,,
ഇതൊക്കെ എങ്ങനെ നടക്കും?,informal,How will all this work?,,,
ഇന്നത്തെ മീറ്റിംഗ് ഉണ്ടോ?,informal,Is there a meeting today?,,,
നീ കണ്ടോ അത്?,informal,Did you see that?,,,
ഇങ്ങനെ ചെയ്താൽ മതി,informal,Doing it like this is enough,,,
അവൾ എന്താ പറഞ്ഞത്?,informal,What did she say?,,,
ഇപ്പൊ സമയം ഉണ്ടോ?,informal,Do you have time now?,,,
അതൊക്കെ പിന്നെ നോക്കാം,informal,Let’s check that later,,,
ഇന്ന് വല്ല പ്രശ്നവും ഉണ്ടോ?,informal,Any problem today?,,,
അവിടെ ആരൊക്കെ ഉണ്ടായിരുന്നു?,informal,Who all were there?,,,
നമുക്ക് ഇന്ന് തീർക്കാമോ?,informal,Can we finish it today?,,,
ഇത് ശരിയാണെന്ന് തോന്നുന്നോ?,informal,Do you think this is right?,,,
ഇപ്പൊ തന്നെ തുടങ്ങണോ?,informal,Should we start now?,,,
അവൻ ഇപ്പോൾ വരുമോ?,informal,Will he come now?,,,
ഇതിന് വേറെ വഴി ഉണ്ടോ?,informal,Is there another way for this?,,,
ദയവായി അപേക്ഷ ഇന്ന് തന്നെ സമർപ്പിക്കണം,formal,Please submit the application today itself,,,
നാളെ രാവിലെ യോഗം നിശ്ചയിച്ചിരിക്കുന്നു,formal,A meeting has been scheduled for tomorrow morning,,,
നിങ്ങളുടെ അപേക്ഷ പരിശോധിച്ച ശേഷം അറിയിക്കും,formal,You will be informed after reviewing your application,,,
ഈ സേവനം ഓഫീസ് സമയങ്ങളിൽ മാത്രം ലഭ്യമാണ്,formal,This service is available only during office hours,,,
റിപ്പോർട്ട് വൈകാതെ സമർപ്പിക്കണമെന്ന് അഭ്യർത്ഥിക്കുന്നു,formal,Kindly submit the report without delay,,,
അനുമതി ലഭിച്ചാൽ മാത്രമേ പ്രവേശനം അനുവദിക്കൂ,formal,Entry will be permitted only after approval,,,
ഫയൽ സംബന്ധിച്ച വിവരങ്ങൾ ഇമെയിലിൽ അയയ്ക്കുക,formal,Please send the file details via email,,,
യോഗത്തിന്റെ മിനിറ്റ്സ് പിന്നീട് പങ്കുവെക്കും,formal,The minutes of the meeting will be shared later,,,
പരാതി രജിസ്റ്റർ ചെയ്തതായി സ്ഥിരീകരിക്കുന്നു,formal,This is to confirm that the complaint has been registered,,,
ഡോക്ടറെ കാണുന്നതിനായി മുൻകൂട്ടി സമയം എടുക്കണം,formal,Prior appointment is required to consult the doctor,,,
ബിൽ തുക ഈ ആഴ്ചയ്ക്കകം അടയ്ക്കണം,formal,The bill amount must be paid within this week,,,
നിർദ്ദേശങ്ങൾ കൃത്യമായി പാലിക്കണമെന്ന് അഭ്യർത്ഥിക്കുന്നു,formal,Kindly adhere strictly to the instructions,,,
അഭിമുഖത്തിന്റെ തീയതി പിന്നീട് അറിയിക്കും,formal,The interview date will be communicated later,,,
പരീക്ഷാഫലം ഔദ്യോഗിക വെബ്സൈറ്റിൽ പ്രസിദ്ധീകരിക്കും,formal,Examination results will be published on the official website,,,
അറിയിപ്പുകൾ ശ്രദ്ധാപൂർവം വായിക്കണം,formal,Notifications should be read carefully,,,
സർക്കാർ ഉത്തരവ് ഉടൻ പ്രാബല്യത്തിൽ വരും,formal,The government order will come into effect immediately,,,
പ്രവർത്തനം താൽക്കാലികമായി നിർത്തിവെച്ചിരിക്കുന്നു,formal,Operations have been temporarily suspended,,,
അപേക്ഷ സമർപ്പിച്ച തീയതി രേഖപ്പെടുത്തണം,formal,The date of application submission must be recorded,,,
സഹകരണത്തിന് നന്ദി അറിയിക്കുന്നു,formal,We express our gratitude for your cooperation,,,
ഈ വിഷയത്തിൽ ഔദ്യോഗിക വിശദീകരണം നൽകും,formal,An official clarification will be provided on this matter,,,
പരിശോധന പൂർത്തിയായതായി അറിയിക്കുന്നു,formal,This is to inform that the inspection has been completed,,,
യോഗത്തിൽ പങ്കെടുത്തതിന് നന്ദി,formal,Thank you for attending the meeting,,,
സമയബന്ധിതമായ പ്രതികരണം പ്രതീക്ഷിക്കുന്നു,formal,A timely response is expected,,,
സേവനം നാളെ മുതൽ പുനരാരംഭിക്കും,formal,The service will resume from tomorrow,,,
അറിയിപ്പ് ലഭിച്ച ശേഷം മാത്രം നടപടികൾ ആരംഭിക്കും,formal,Actions will commence only after receiving the notification,,,
രേഖകൾ സമർപ്പിക്കുന്നതിനുള്ള അവസാന തീയതി നാളെ,formal,Tomorrow is the last date for document submission,,,
പദ്ധതി ഔദ്യോഗികമായി ഉദ്ഘാടനം ചെയ്തു,formal,The project has been officially inaugurated,,,
സന്ദർശകർക്കായി പ്രത്യേക രജിസ്ട്രേഷൻ ആവശ്യമാണ്,formal,Special registration is required for visitors,,,
പരിശീലന പരിപാടി അടുത്ത ആഴ്ച ആരംഭിക്കും,formal,The training program will commence next week,,,
നിലവിലെ സ്ഥിതിഗതികൾ വിലയിരുത്തുന്നു,formal,The current situation is being assessed,,,
അപേക്ഷ പരിഗണനയിലാണ്,formal,The application is under consideration,,,
സമ്മേളനം വൈകുന്നേരം നടക്കും,formal,The conference will be held in the evening,,,
വിശദാംശങ്ങൾ ഉടൻ പങ്കുവെക്കും,formal,Details will be shared shortly,,,
യോഗത്തിനുള്ള ക്ഷണം ഔദ്യോഗികമായി അയച്ചിട്ടുണ്ട്,formal,The meeting invitation has been officially sent,,,
പരിശോധന റിപ്പോർട്ട് ഇന്ന് സമർപ്പിക്കും,formal,The inspection report will be submitted today,,,
സേവനം താൽക്കാലികമായി നിർത്തിവെച്ചിരിക്കുന്നു,formal,The service has been temporarily suspended,,,
പുതിയ മാർഗനിർദ്ദേശങ്ങൾ പുറത്തിറക്കി,formal,New guidelines have been issued,,,
അപേക്ഷ സ്വീകരിച്ചതായി സ്ഥിരീകരിക്കുന്നു,formal,This confirms receipt of the application,,,
യോഗത്തിന്റെ അജണ്ട മുൻകൂട്ടി പങ്കുവെക്കും,formal,The meeting agenda will be shared in advance,,,
സമയപരിധി നീട്ടിയതായി അറിയിക്കുന്നു,formal,The deadline has been extended,,,
പരിശീലനം നിർബന്ധമായിരിക്കും,formal,Training will be mandatory,,,
പരാതിക്ക് ഉടൻ മറുപടി നൽകും,formal,A response to the complaint will be provided shortly,,,
നടപടികൾ പുരോഗമിക്കുകയാണ്,formal,Proceedings are currently in progress,,,
അനുമതി ലഭിച്ച ശേഷം പ്രവർത്തനം ആരംഭിക്കും,formal,Operations will begin after approval,,,
വിശദീകരണം ഉടൻ നൽകും,formal,Clarification will be provided shortly,,,
മഴ പതുക്കെ നിലം തൊട്ടു,poetic,Rain gently touched the ground,,,
സന്ധ്യ മൗനമായി നീങ്ങി,poetic,Evening moved in silence,,,
കാറ്റ് ഓർമ്മകളെ വിളിച്ചു,poetic,The wind called out memories,,,
സമയം നിശ്ശബ്ദമായി കടന്നു,poetic,Time passed quietly,,,
നിലാവ് മനസ്സിൽ നിറഞ്ഞു,poetic,Moonlight filled the heart,,,
വഴികൾ ശൂന്യമായി നിന്നു,poetic,Roads stood empty,,,
നദി കഥകൾ പറഞ്ഞുപോയി,poetic,The river whispered stories,,,
ചിരി മൗനമായി മാറി,poetic,Laughter turned into silence,,,
ആകാശം നിറം മാറി,poetic,The sky changed its colors,,,
കുന്നുകൾ കാത്തുനിന്നു,poetic,The hills waited,,,
രാത്രി ഓർമ്മകളായി,poetic,Night turned into memories,,,
പുലരി പ്രതീക്ഷയായി,poetic,Dawn became hope,,,
മഴ വാക്കുകളായി വീണു,poetic,Rain fell as words,,,
നിഴലുകൾ നീണ്ടു,poetic,Shadows stretched,,,
കടൽ ശ്വാസമെടുത്തു,poetic,The sea took a breath,,,
കാറ്റ് പാട്ടായി മാറി,poetic,The wind became a song,,,
സമയം നിന്നതുപോലെ തോന്നി,poetic,Time felt as if it stood still,,,
സന്ധ്യ കാത്തിരിപ്പായി,poetic,Evening became waiting,,,
വാക്കുകൾ വഴിമാറി,poetic,Words changed their path,,,
മനസ്സ് യാത്രയായി,poetic,The mind became a journey,,,
മഴത്തുള്ളികൾ സ്വപ്നമായി,poetic,Raindrops became dreams,,,
നിലാവ് കഥ പറഞ്ഞു,poetic,Moonlight told a story,,,
ആകാശം ശ്വാസമെടുത്തു,poetic,The sky took a breath,,,
രാത്രിക്ക് മണം ഉണ്ടായി,poetic,Night carried a scent,,,
പുലരി ചിരിയോടെ വന്നു,poetic,Dawn arrived with a smile,,,
കാറ്റ് വഴികൾ തിരഞ്ഞു,poetic,The wind searched for paths,,,
നദി സമയത്തെ കൊണ്ടുപോയി,poetic,The river carried time away,,,
കടൽ സ്വപ്നങ്ങൾ ഒളിപ്പിച്ചു,poetic,The sea hid its dreams,,,
മഴ മണ്ണിനെ ചുംബിച്ചു,poetic,Rain kissed the soil,,,
സന്ധ്യ കണ്ണിറുക്കി,poetic,Evening blinked,,,
നിഴലുകൾ കഥയായി,poetic,Shadows turned into stories,,,
വാക്കുകൾ മൗനമായി,poetic,Words became silence,,,
രാത്രി നീണ്ടു,poetic,Night stretched long,,,
കുന്നുകൾ മൗനം പറഞ്ഞു,poetic,The hills spoke silence,,,
ചായയുടെ ചൂടിൽ ഓർമ്മകൾ ഉണർന്നു,poetic,Memories woke in the warmth of tea,,,
പുലരി വെളിച്ചമായി,poetic,Dawn became light,,,
മഴ വീണ്ടും പെയ്തു,poetic,Rain fell again,,,
നിലാവ് കാത്തുനിന്നു,poetic,Moonlight waited,,,
കാറ്റ് ഓർമ്മകളെ തൊട്ടു,poetic,The wind touched memories,,,
സമയം പതുക്കെ നീങ്ങി,poetic,Time moved slowly,,,
ആകാശം സ്വപ്നമായി,poetic,The sky became a dream,,,
രാത്രി മൗനം ധരിച്ചു,poetic,Night wore silence,,,
കടൽ കഥയായി,poetic,The sea became a story,,,
പുലരി പിറന്നു,poetic,Dawn was born,,,
നിഴലുകൾ വഴിതേടി,poetic,Shadows searched for paths,,,
മഴ സംഗീതമായി,poetic,Rain turned into music,,,
സന്ധ്യ കണ്ണുനീർ പോലെ,poetic,Evening felt like a tear,,,
മനസ്സ് മേഘമായി,poetic,The mind became a cloud,,,
സമയം ഒഴുകിപ്പോയി,poetic,Time flowed away,,,
ദുആയുടെ മൗനത്തിൽ മനസ്സ് ശാന്തമായി,poetic,The heart calmed in the silence of prayer,,,
സജ്ദയിൽ സമയം നിൽക്കുന്നതുപോലെ തോന്നി,poetic,Time felt still in prostration,,,
കാറ്റിൽ അല്ലാഹുവിന്റെ നാമം മുഴങ്ങി,poetic,God’s name echoed in the wind,,,
നിലാവിന് പോലും ദുആ ഉണ്ടായി,poetic,Even the moon seemed to pray,,,
കണ്ണുനീർ പ്രാർത്ഥനയായി മാറി,poetic,Tears turned into prayer,,,
ഖൽബ് വെളിച്ചം തേടി,poetic,The heart searched for light,,,
മദീനയുടെ കാറ്റ് ആത്മാവിനെ തൊട്ടു,poetic,The breeze of Madinah touched the soul,,,
ദുആകൾ ചിറകെടുത്തു,poetic,Prayers grew wings,,,
മൗനം പോലും ഇബാദത്തായി,poetic,Even silence became worship,,,
വിശ്വാസം ശ്വാസമായി,poetic,Faith became breath,,,
നിന്റെ ചിരിയിൽ ഞാൻ വീട് കണ്ടു,poetic,I found home in your smile,,,
കൈപിടിയിൽ ലോകം മറന്നു,poetic,The world faded in held hands,,,
നിന്റെ നിശ്ശബ്ദത പോലും സംഗീതം,poetic,Even your silence is music,,,
പ്രണയം മഴയായി പെയ്തു,poetic,Love poured down like rain,,,
നിന്റെ പേര് ഹൃദയത്തിൽ എഴുതപ്പെട്ടു,poetic,Your name was written on my heart,,,
കണ്ണുകൾ കഥ പറഞ്ഞു,poetic,Eyes told stories,,,
നിന്റെ ചിരിയിൽ രാവണിഞ്ഞു,poetic,Night dressed itself in your smile,,,
സ്നേഹം സമയം മറന്നു,poetic,Love forgot time,,,
നീ ഉള്ളതുകൊണ്ട് ലോകം പൂർണ്ണം,poetic,The world feels complete with you,,,
പ്രണയം മൗനമായി പറഞ്ഞു,poetic,Love spoke in silence,,,
മഴ മണ്ണിനെ ചുംബിച്ചു,poetic,Rain kissed the earth,,,
പുലരി പ്രതീക്ഷയായി വിരിഞ്ഞു,poetic,Dawn bloomed as hope,,,
കാറ്റ് വഴികൾ തേടി,poetic,The wind searched for paths,,,
നദി സമയം കൊണ്ടുപോയി,poetic,The river carried time away,,,
സന്ധ്യ കണ്ണിറുക്കി,poetic,Evening blinked softly,,,
കടൽ സ്വപ്നങ്ങൾ ഒളിപ്പിച്ചു,poetic,The sea hid its dreams,,,
ആകാശം കഥയായി,poetic,The sky became a story,,,
നിഴലുകൾ നീണ്ടു,poetic,Shadows stretched long,,,
കുന്നുകൾ മൗനം പറഞ്ഞു,poetic,Hills spoke silence,,,
രാത്രി ശ്വാസമെടുത്തു,poetic,Night took a breath,,,
ഖൽബിൽ ഇശ്‌ഖ് തെളിഞ്ഞു,poetic,Love ignited in the heart,,,
സ്നേഹം ദുആയായി ഉയർന്നു,poetic,Love rose as a prayer,,,
പ്രണയം ഇബാദത്തായി,poetic,Love became worship,,,
കണ്ണുനീർ ശുദ്ധിയായി,poetic,Tears became purity,,,
ദൈവം അടുത്തായി തോന്നി,poetic,God felt close,,,
ആത്മാവ് വഴിയറിഞ്ഞു,poetic,The soul found its path,,,
സ്നേഹം സജ്ദയായി,poetic,Love bowed in prostration,,,
ഹൃദയം വിശ്വാസം പഠിച്ചു,poetic,The heart learned faith,,,
മൗനം ഉത്തരം പറഞ്ഞു,poetic,Silence answered,,,
ദുആയിൽ ലോകം ലയിച്ചു,poetic,The world dissolved in prayer,,,
മഴ സംഗീതമായി,poetic,Rain turned into music,,,
നിലാവ് ഓർമ്മയായി,poetic,Moonlight became memory,,,
കാറ്റ് കഥ പറഞ്ഞു,poetic,The wind told stories,,,
പുലരി പിറന്നു,poetic,Dawn was born,,,
രാത്രി നീണ്ടു,poetic,Night stretched on,,,
സമയം പതുക്കെ നീങ്ങി,poetic,Time moved slowly,,,
നദി പാട്ടുപാടി,poetic,The river sang,,,
സന്ധ്യ കാത്തുനിന്നു,poetic,Evening waited,,,
ആകാശം നിറഞ്ഞു,poetic,The sky overflowed,,,
ഹൃദയം മേഘമായി,poetic,The heart became a cloud,,,
സ്വപ്നങ്ങൾ യാത്രയായി,poetic,Dreams became journeys,,,
സ്നേഹം ശ്വാസമായി,poetic,Love became breath,,,
ആത്മാവ് വെളിച്ചം കണ്ടു,poetic,The soul found light,,,
ദുആകൾ മഴയായി,poetic,Prayers fell like rain,,,
മൗനം സത്യം പറഞ്ഞു,poetic,Silence spoke truth,,,
വിശ്വാസം കരയായി,poetic,Faith became the shore,,,
സ്നേഹം വഴിയായി,poetic,Love became the path,,,
"എടാ, ഇപ്പൊ എന്താ സീൻ?",informal,"Dude, what’s going on now?",,,
വല്ലാത്ത തിരക്കാ ഇന്ന്,informal,It’s crazy busy today,,,
ഇപ്പൊ പറഞ്ഞാൽ കാര്യമില്ല,informal,No point saying it now,,,
അവൻ പണി കൊള്ളും തോന്നുന്നു,informal,Looks like he’ll mess things up,,,
ഇന്നേം മീറ്റിംഗാണോ?,informal,Meeting again today?,,,
ഇങ്ങനെയൊക്കെ ആകും എന്ന് അറിഞ്ഞില്ല,informal,Didn’t expect it to turn out like this,,,
"അയ്യോ, അത് ഞാൻ മറന്നു പോയി",informal,"Oh no, I totally forgot that",,,
നീ ഇപ്പൊ എവിടെയാ നിൽക്കുന്നത്?,informal,Where are you stuck now?,,,
വല്ലാത്ത ചൂടാ ഇന്നെ,informal,It’s insanely hot today,,,
അവൾക്ക് ഇന്ന് മൂഡ് ഇല്ല,informal,She’s not in the mood today,,,
ഇതൊക്കെ വിട്ടേക്ക്,informal,Just drop it,,,
നമുക്ക് പിന്നെ നോക്കാം,informal,Let’s check later,,,
"എടാ, നീ കേട്ടോ അത്?",informal,"Hey, did you hear that?",,,
ഇത്രയും കഷ്ടപ്പാട് എന്തിനാ,informal,Why so much trouble?,,,
ഇന്നത്തെ കാര്യങ്ങൾ തീർന്നു,informal,Today’s stuff is done,,,
ബസ് പോയി കേട്ടോ,informal,The bus already left,,,
ഇപ്പൊ വിളിക്കരുത്,informal,Don’t call now,,,
അങ്ങനെ പെട്ടെന്ന് നടക്കില്ല,informal,It won’t happen that fast,,,
അവൻ പറഞ്ഞത് ശരിയല്ല,informal,What he said isn’t right,,,
"ഇങ്ങോട്ട് വാ, ഒന്ന് സംസാരിക്കാം",informal,"Come here, let’s talk",,,
"അയ്യാ, അത് വിട്ടേക്ക്",informal,"Man, just leave it",,,
ഇന്നത്തെ പ്ലാൻ മാറ്റി,informal,Changed today’s plan,,,
കുറച്ച് സമയം എടുക്കും,informal,It’ll take some time,,,
നീ അത്ര ടെൻഷൻ ആകരുത്,informal,Don’t stress that much,,,
ഇതൊക്കെ പതിവല്ലേ,informal,Isn’t this usual?,,,
ഞാൻ ഇപ്പൊ ഫ്രീ അല്ല,informal,I’m not free right now,,,
നീ ഒന്ന് നോക്കിക്കോളൂ,informal,You just take a look,,,
അത് പിന്നെ പറയാം,informal,We’ll talk about that later,,,
ഇപ്പൊ പോകാൻ പറ്റില്ല,informal,Can’t go now,,,
"എടാ, ഇത് പണി കിട്ടും",informal,"Dude, this will cause trouble",,,
അവിടെ പോയിട്ട് കാര്യമില്ല,informal,No use going there,,,
ഇന്നലെ വല്ലാത്ത മഴയായിരുന്നു,informal,Yesterday’s rain was crazy,,,
ഇവിടൊക്കെ ശബ്ദം കൂടുതലാ,informal,It’s noisy here,,,
അവൻ ഇന്നും വന്നില്ല,informal,He didn’t come today either,,,
അത്ര സീരിയസാക്കണ്ട,informal,Don’t take it that seriously,,,
ഇത് ഒന്ന് സെറ്റാക്കണം,informal,We need to fix this,,,
ഇപ്പൊ തന്നെ തീർക്കണം,informal,Need to finish it now,,,
നമുക്ക് കണ്ടിട്ട് തീരുമാനിക്കാം,informal,Let’s decide after seeing,,,
അവൾ പറഞ്ഞത് കേട്ടില്ലേ,informal,Didn’t you hear what she said?,,,
ഇങ്ങനെ പോയാൽ പണി പാളും,informal,"If this goes on, it’ll fail",,,
"എടാ, ഒന്ന് മിണ്ടാതിരിക്ക്",informal,"Dude, just stay quiet",,,
ഇന്നത്തെ ദിവസം കിടിലം,informal,Today was awesome,,,
അത് എനിക്ക് പറ്റില്ല,informal,I can’t do that,,,
നീ ഒന്ന് മനസ്സിലാക്കണം,informal,You need to understand,,,
ഇതൊക്കെ എളുപ്പമല്ല,informal,This isn’t easy,,,
ഇപ്പൊ ശരിയാകും,informal,It’ll be fine now,,,
അവൻ ഒന്ന് ദേഷ്യത്തിലാണ്,informal,He’s a bit angry,,,
നമുക്ക് ഇവിടെ നിൽക്കാം,informal,Let’s stay here,,,
